Index,ID,Name,URL,Star_count,OpenIssues_count,Fork_count,created_time,Pushed_time,Update_time,Duration(>180)
0,28457823,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,317721,318,25149,2014-12-24T17:49:19Z,2020-12-16T19:24:53Z,2020-12-17T01:45:55Z,YES
2,11730342,vue,https://github.com/vuejs/vue,176785,551,27537,2013-07-29T03:24:51Z,2020-12-16T12:42:53Z,2020-12-17T01:39:37Z,YES
4,10270250,react,https://github.com/facebook/react,160706,679,32003,2013-05-24T16:15:54Z,2020-12-16T23:40:32Z,2020-12-17T01:45:46Z,YES
5,45717250,tensorflow,https://github.com/tensorflow/tensorflow,151589,4264,83511,2015-11-07T01:19:20Z,2020-12-17T01:59:50Z,2020-12-17T02:00:30Z,YES
6,21737465,awesome,https://github.com/sindresorhus/awesome,149046,49,19468,2014-07-11T13:42:37Z,2020-12-15T12:32:24Z,2020-12-17T01:17:45Z,YES
8,2126244,bootstrap,https://github.com/twbs/bootstrap,145865,391,71379,2011-07-29T21:19:00Z,2020-12-17T01:26:12Z,2020-12-17T01:40:48Z,YES
16,41881900,vscode,https://github.com/microsoft/vscode,107957,4264,17425,2015-09-03T20:23:38Z,2020-12-17T01:35:54Z,2020-12-17T01:58:19Z,YES
24,29028775,react-native,https://github.com/facebook/react-native,92215,1247,20335,2015-01-09T18:10:16Z,2020-12-17T00:04:07Z,2020-12-17T00:13:21Z,YES
29,1039520,youtube-dl,https://github.com/ytdl-org/youtube-dl,85248,3930,2972,2010-10-31T14:35:07Z,2020-12-17T01:18:38Z,2020-12-17T01:52:50Z,YES
30,63537249,create-react-app,https://github.com/facebook/create-react-app,84604,909,20780,2016-07-17T14:55:11Z,2020-12-16T13:37:39Z,2020-12-17T01:48:10Z,YES
32,23088740,axios,https://github.com/axios/axios,79863,269,7582,2014-08-18T22:30:27Z,2020-12-16T08:30:05Z,2020-12-17T01:59:47Z,YES
33,23096959,go,https://github.com/golang/go,79854,6587,11609,2014-08-19T04:33:40Z,2020-12-16T22:46:28Z,2020-12-17T01:05:32Z,YES
35,27193779,node,https://github.com/nodejs/node,75395,1237,18809,2014-11-26T19:57:11Z,2020-12-17T01:21:13Z,2020-12-17T01:59:51Z,YES
37,20580498,kubernetes,https://github.com/kubernetes/kubernetes,72771,2864,26309,2014-06-06T22:56:04Z,2020-12-17T01:15:53Z,2020-12-17T01:44:52Z,YES
